rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
1817,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,726",Q1,131,,361,6955,1447,351,"4,02","40,91","34,25",60,0,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2014,170.0,,,,,,,,,,['Environmental Science'],5.93490746649649,D1
1938,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,665",Q1,309,,1196,40477,6215,1190,"4,92","49,60","33,38",276,0,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2014,816.0,,,,,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
1990,25349,Science of the Total Environment,journal,"00489697, 18791026","1,635",Q1,353,,2622,94503,12333,2573,"4,60","53,27","38,32",699,0,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2014,1774.0,,,,,,,,,,['Environmental Science'],4.790748898678414,D1
2154,10600153309,PLoS ONE,journal,19326203,"1,559",Q1,435,,68163,1385850,274461,68162,"3,71","47,32","39,70",4405,0,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2014,29284.0,,,,,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
2400,20292,Ecological Indicators,journal,1470160X,"1,464",Q1,183,,941,24952,3908,923,"4,17","54,96","34,88",154,0,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2014,454.0,,,,,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
3212,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,228",Q1,243,,1555,20330,6257,1546,"3,36","51,34","35,66",126,0,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2014,396.0,,,,,,,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
3390,25776,Quaternary International,journal,10406182,"1,182",Q1,125,,1490,40562,3576,1389,"2,12","66,06","33,37",38,0,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2014,614.0,,,,,,,,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
4400,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,990",Q1,179,,1444,64468,4310,1403,"2,94","48,00","41,26",215,0,Germany,Western Europe,,1994-2023,"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Environmental Chemistry (Q2)",Environmental Science; Medicine,2014,1343.0,,,,,,,,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
4548,15168,Hydrobiologia,journal,"15735117, 00188158","0,966",Q1,165,,1143,20660,2780,1118,"2,44","58,03","35,93",91,0,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2014,356.0,,,,,,,,,,['Agricultural and Biological Sciences'],14.082840236686389,Q1
5179,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","0,874",Q1,130,,102,2814,267,100,"2,43","35,62","36,54",14,0,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q2); Transportation (Q2)",Energy; Engineering; Social Sciences,2014,79.0,,,,,,,,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
