rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
12607,21100317906,MethodsX,journal,22150161,"0,395",Q2,46,,1149,6903,2513,1142,"1,97","20,85","38,22",1,93,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions",2022,,,,,,,,,331.0,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
16571,21100372856,Data in Brief,journal,23523409,"0,258",Q2,52,,4074,10242,5758,6,"1,49","9,73","61,54",11,393,United States,Northern America,Elsevier Inc.,2014-2023,Multidisciplinary (Q2); Education (Q3),Multidisciplinary; Social Sciences,2022,,,,,,,,,1053.0,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
17372,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,237",Q3,46,,662,6310,670,658,"0,97","45,72","36,96",0,92,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2022,,,,,,,,,138.0,,['Environmental Science'],39.10034602076124,Q2
19729,21100773812,Chemistry Journal of Moldova,journal,"18571727, 23451688","0,189",Q4,10,,63,613,49,63,"0,52","30,65","42,50",0,1,Moldova,Eastern Europe,"Institute of Chemistry, Academy of Sciences of Moldova",2016-2023,Chemistry (miscellaneous) (Q4); Environmental Chemistry (Q4); Process Chemistry and Technology (Q4),Chemical Engineering; Chemistry; Environmental Science,2022,,,,,,,,,20.0,,"['Chemical Engineering', 'Chemistry', 'Environmental Science']",48.14004376367615,Q2
483,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,596",Q1,421,,2896,85801,54654,2882,"18,47","116,42","28,59",19,663,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2023,,,,,,,,,,737.0,['Energy'],0.5621925509486999,D1
899,29372,Energy Conversion and Management,journal,01968904,"2,553",Q1,250,,3589,65814,39361,3574,"10,51","58,40","24,29",2,960,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2023,,,,,,,,,,1127.0,['Energy'],1.0541110330288124,D1
904,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","2,545",Q1,130,,2349,52191,29362,2346,"12,07","71,99","32,87",10,642,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",Energy; Engineering; Social Sciences,2023,,,,,,,,,,725.0,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
1222,23916,Environmental Pollution,journal,"02697491, 18736424","2,132",Q1,301,,6456,142957,60288,6404,"8,80","69,43","41,78",16,1314,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2023,,,,,,,,,,2059.0,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1252,29348,Energy,journal,"18736785, 03605442","2,110",Q1,251,,8133,209116,82524,8115,"10,29","52,17","28,46",9,2653,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Engineering; Environmental Science; Mathematics,2023,,,,,,,,,,4008.0,"['Energy', 'Engineering', 'Environmental Science', 'Mathematics']",0.811078140454995,D1
1269,21100924827,Communications Biology,journal,23993642,"2,090",Q1,73,,3341,84888,18119,3273,"5,15","69,13","37,98",6,353,United States,Northern America,Springer Nature,2018-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2023,,,,,,,,,,1228.0,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",1.7063492063492063,D1
1303,19167,Journal of Cleaner Production,journal,"09596526, 18791786","2,058",Q1,309,,15027,297573,180112,14979,"11,08","67,29","35,17",26,3643,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2023,,,,,,,,,,4422.0,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
1364,25349,Science of the Total Environment,journal,"00489697, 18791026","1,998",Q1,353,,22593,629399,228353,22320,"9,44","74,68","40,77",99,5790,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2023,,,,,,,,,,8428.0,['Environmental Science'],4.790748898678414,D1
1685,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,771",Q1,243,,6012,188769,57527,5989,"9,32","68,00","38,18",19,2319,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2023,,,,,,,,,,2776.0,"['Environmental Science', 'Medicine']",6.52294085129906,D1
1937,20292,Ecological Indicators,journal,1470160X,"1,633",Q1,183,,3836,103925,29765,3818,"7,69","67,84","37,47",7,1216,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2023,,,,,,,,,,1532.0,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
2659,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","1,355",Q1,127,,5420,176115,45476,5410,"8,24","68,18","38,14",1,1590,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1),Chemical Engineering; Environmental Science,2023,,,,,,,,,,2583.0,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
2798,21100220478,Urban Climate,journal,22120955,"1,318",Q1,75,,754,29146,5178,752,"6,59","71,09","34,28",2,361,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2023,,,,,,,,,,410.0,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
2951,21100324365,Journal of Water Process Engineering,journal,22147144,"1,278",Q1,89,,2263,83208,17344,2257,"7,27","68,32","37,79",0,944,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Biotechnology (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2023,,,,,,,,,,1218.0,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
3283,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,203",Q1,131,,426,7175,2155,408,"4,74","55,62","41,25",5,123,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2023,,,,,,,,,,129.0,['Environmental Science'],5.93490746649649,D1
4207,21101036139,Environmental and Sustainability Indicators,journal,26659727,"1,033",Q1,25,,192,7258,1126,192,"6,25","73,31","27,83",0,88,Netherlands,Western Europe,Elsevier B.V.,2019-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)",Agricultural and Biological Sciences; Environmental Science,2023,,,,,,,,,,99.0,"['Agricultural and Biological Sciences', 'Environmental Science']",10.691056910569104,Q1
4409,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","1,006",Q1,179,,15223,527661,96237,15050,"6,23","60,67","40,05",24,6359,Germany,Western Europe,,1994-2023,"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Environmental Chemistry (Q2)",Environmental Science; Medicine,2023,,,,,,,,,,8697.0,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
4616,21101043776,Current Research in Green and Sustainable Chemistry,journal,26660865,"0,977",Q1,30,,329,2015,2386,328,"7,11","54,46","33,09",0,21,Netherlands,Western Europe,Elsevier B.V.,2020-2023,Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Environmental Chemistry (Q2),Chemistry; Environmental Science; Materials Science,2023,,,,,,,,,,37.0,"['Chemistry', 'Environmental Science', 'Materials Science']",16.043307086614174,Q1
4760,21100374601,IEEE Access,journal,21693536,"0,960",Q1,242,,40115,508876,207952,40026,"4,64","49,01","24,54",0,2428,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Computer Science; Engineering; Materials Science,2023,,,,,,,,,,10384.0,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
5260,21100200805,Scientific Reports,journal,20452322,"0,900",Q1,315,,67114,1094778,283579,67062,"3,88","48,79","37,49",95,7930,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2023,,,,,,,,,,22439.0,['Multidisciplinary'],1.6,D1
5787,10600153309,PLoS ONE,journal,19326203,"0,839",Q1,435,,48154,735160,165901,48149,"3,11","49,58","43,99",118,6657,United States,Northern America,Public Library of Science,2006-2023,Multidisciplinary (Q1),Multidisciplinary,2023,,,,,,,,,,14827.0,['Multidisciplinary'],5.391467416783873,D1
6245,21100253674,Nanomaterials,journal,20794991,"0,798",Q1,126,,10397,194621,51776,10222,"4,50","61,49","36,10",5,850,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),Chemical Engineering; Materials Science,2023,,,,,,,,,,3165.0,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
6294,21100904991,Results in Engineering,journal,25901230,"0,794",Q1,36,,701,46628,4413,697,"6,50","54,34","22,31",0,352,Netherlands,Western Europe,Elsevier B.V.,2019-2023,Engineering (miscellaneous) (Q1),Engineering,2023,,,,,,,,,,858.0,['Engineering'],20.988407565588773,Q1
6533,15168,Hydrobiologia,journal,"15735117, 00188158","0,774",Q1,165,,907,28886,2439,895,"2,50","84,71","41,93",8,161,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2023,,,,,,,,,,341.0,['Agricultural and Biological Sciences'],14.082840236686389,Q1
7275,21100826280,Frontiers in Environmental Science,journal,2296665X,"0,715",Q2,77,,3474,77559,12728,3361,"3,43","59,80","39,15",9,994,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous) (Q2),Environmental Science,2023,,,,,,,,,,1297.0,['Environmental Science'],10.306686777275011,Q1
7863,21100240100,Sustainability,journal,20711050,"0,672",Q1,169,,41651,911822,181393,41302,"3,95","62,12","37,39",66,10721,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q1); Computer Networks and Communications (Q2); Energy Engineering and Power Technology (Q2); Environmental Science (miscellaneous) (Q2); Hardware and Architecture (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Computer Science; Energy; Environmental Science; Social Sciences,2023,,,,,,,,,,14679.0,"['Computer Science', 'Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
7945,25776,Quaternary International,journal,10406182,"0,666",Q2,125,,1234,21751,2400,1163,"1,94","83,98","40,55",0,46,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q2),Earth and Planetary Sciences,2023,,,,,,,,,,259.0,['Earth and Planetary Sciences'],13.156230234029096,Q1
8164,62932,Energies,journal,19961073,"0,651",Q1,152,,24763,450798,88959,24437,"3,51","55,63","25,90",17,5094,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Engineering (miscellaneous) (Q1); Control and Optimization (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2023,,,,,,,,,,8104.0,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
8200,13909,Geobios,journal,"00166995, 17775728","0,649",Q2,58,,98,3978,189,97,"1,84","86,48","31,61",0,2,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Paleontology (Q2); Space and Planetary Science (Q2); Stratigraphy (Q2),Earth and Planetary Sciences,2023,,,,,,,,,,46.0,['Earth and Planetary Sciences'],22.059758423394786,Q1
8649,21100411756,Heliyon,journal,24058440,"0,617",Q1,88,,9327,576558,42416,9314,"4,00","55,64","38,11",21,5002,Netherlands,Western Europe,Elsevier B.V.,2015-2023,Multidisciplinary (Q1),Multidisciplinary,2023,,,,,,,,,,10362.0,['Multidisciplinary'],14.545454545454545,Q1
9563,76627,Materials,journal,19961944,"0,565",Q2,168,,22736,390136,81624,22509,"3,34","50,77","32,86",2,1792,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2),Materials Science; Physics and Astronomy,2023,,,,,,,,,,7684.0,"['Materials Science', 'Physics and Astronomy']",12.630208333333334,Q1
10708,15026,Flow Measurement and Instrumentation,journal,09555986,"0,504",Q2,69,,428,5742,1080,428,"2,45","34,38","24,62",0,17,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2); Computer Science Applications (Q3),Computer Science; Engineering; Mathematics; Physics and Astronomy,2023,,,,,,,,,,167.0,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
10881,21100399705,Minerals,journal,2075163X,"0,495",Q2,58,,4193,94243,10454,4112,"2,33","60,68","32,81",0,292,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2),Earth and Planetary Sciences,2023,,,,,,,,,,1553.0,['Earth and Planetary Sciences'],30.552220888355343,Q2
13162,21100317906,MethodsX,journal,22150161,"0,393",Q2,46,,1173,12523,2632,1162,"1,93","26,14","35,64",1,166,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions",2023,,,,,,,,,,479.0,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
13590,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,377",Q2,23,,150,2551,331,147,"2,35","53,15","29,82",0,42,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Environmental Science (miscellaneous) (Q2); Energy Engineering and Power Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3); Water Science and Technology (Q3)",Energy; Environmental Science,2023,,,,,,,,,,48.0,"['Energy', 'Environmental Science']",18.622628250175683,Q1
19203,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,214",Q4,46,,546,7124,503,544,"0,99","42,40","43,45",0,126,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)",Environmental Science,2023,,,,,,,,,,168.0,['Environmental Science'],39.10034602076124,Q2
19504,21100372856,Data in Brief,journal,23523409,"0,208",Q3,52,,3853,10435,5608,6,"1,29","10,78","0,00",2,393,United States,Northern America,Elsevier Inc.,2014-2023,Education (Q3); Multidisciplinary (Q3),Multidisciplinary; Social Sciences,2023,,,,,,,,,,968.0,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
24211,21100773812,Chemistry Journal of Moldova,journal,"18571727, 23451688","0,133",Q4,10,,62,636,35,62,"0,69","30,29","57,35",0,1,Moldova,Eastern Europe,"Institute of Chemistry, Academy of Sciences of Moldova",2016-2023,Chemistry (miscellaneous) (Q4); Environmental Chemistry (Q4); Process Chemistry and Technology (Q4),Chemical Engineering; Chemistry; Environmental Science,2023,,,,,,,,,,21.0,"['Chemical Engineering', 'Chemistry', 'Environmental Science']",48.14004376367615,Q2
483,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,596",Q1,421,,2896,85801,54654,2882,"18,47","116,42","28,59",19,663,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2024,,,,,,,,,,737.0,['Energy'],0.5621925509486999,D1
899,29372,Energy Conversion and Management,journal,01968904,"2,553",Q1,250,,3589,65814,39361,3574,"10,51","58,40","24,29",2,960,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2024,,,,,,,,,,1127.0,['Energy'],1.0541110330288124,D1
904,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","2,545",Q1,130,,2349,52191,29362,2346,"12,07","71,99","32,87",10,642,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",Energy; Engineering; Social Sciences,2024,,,,,,,,,,725.0,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
1222,23916,Environmental Pollution,journal,"02697491, 18736424","2,132",Q1,301,,6456,142957,60288,6404,"8,80","69,43","41,78",16,1314,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2024,,,,,,,,,,2059.0,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1252,29348,Energy,journal,"18736785, 03605442","2,110",Q1,251,,8133,209116,82524,8115,"10,29","52,17","28,46",9,2653,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Engineering; Environmental Science; Mathematics,2024,,,,,,,,,,4008.0,"['Energy', 'Engineering', 'Environmental Science', 'Mathematics']",0.811078140454995,D1
1269,21100924827,Communications Biology,journal,23993642,"2,090",Q1,73,,3341,84888,18119,3273,"5,15","69,13","37,98",6,353,United States,Northern America,Springer Nature,2018-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2024,,,,,,,,,,1228.0,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",1.7063492063492063,D1
1303,19167,Journal of Cleaner Production,journal,"09596526, 18791786","2,058",Q1,309,,15027,297573,180112,14979,"11,08","67,29","35,17",26,3643,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2024,,,,,,,,,,4422.0,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
1364,25349,Science of the Total Environment,journal,"00489697, 18791026","1,998",Q1,353,,22593,629399,228353,22320,"9,44","74,68","40,77",99,5790,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2024,,,,,,,,,,8428.0,['Environmental Science'],4.790748898678414,D1
1685,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,771",Q1,243,,6012,188769,57527,5989,"9,32","68,00","38,18",19,2319,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2024,,,,,,,,,,2776.0,"['Environmental Science', 'Medicine']",6.52294085129906,D1
1937,20292,Ecological Indicators,journal,1470160X,"1,633",Q1,183,,3836,103925,29765,3818,"7,69","67,84","37,47",7,1216,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2024,,,,,,,,,,1532.0,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
2659,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","1,355",Q1,127,,5420,176115,45476,5410,"8,24","68,18","38,14",1,1590,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1),Chemical Engineering; Environmental Science,2024,,,,,,,,,,2583.0,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
2798,21100220478,Urban Climate,journal,22120955,"1,318",Q1,75,,754,29146,5178,752,"6,59","71,09","34,28",2,361,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2024,,,,,,,,,,410.0,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
2951,21100324365,Journal of Water Process Engineering,journal,22147144,"1,278",Q1,89,,2263,83208,17344,2257,"7,27","68,32","37,79",0,944,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Biotechnology (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2024,,,,,,,,,,1218.0,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
3283,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,203",Q1,131,,426,7175,2155,408,"4,74","55,62","41,25",5,123,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2024,,,,,,,,,,129.0,['Environmental Science'],5.93490746649649,D1
4207,21101036139,Environmental and Sustainability Indicators,journal,26659727,"1,033",Q1,25,,192,7258,1126,192,"6,25","73,31","27,83",0,88,Netherlands,Western Europe,Elsevier B.V.,2019-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)",Agricultural and Biological Sciences; Environmental Science,2024,,,,,,,,,,99.0,"['Agricultural and Biological Sciences', 'Environmental Science']",10.691056910569104,Q1
4409,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","1,006",Q1,179,,15223,527661,96237,15050,"6,23","60,67","40,05",24,6359,Germany,Western Europe,,1994-2023,"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Environmental Chemistry (Q2)",Environmental Science; Medicine,2024,,,,,,,,,,8697.0,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
4616,21101043776,Current Research in Green and Sustainable Chemistry,journal,26660865,"0,977",Q1,30,,329,2015,2386,328,"7,11","54,46","33,09",0,21,Netherlands,Western Europe,Elsevier B.V.,2020-2023,Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Environmental Chemistry (Q2),Chemistry; Environmental Science; Materials Science,2024,,,,,,,,,,37.0,"['Chemistry', 'Environmental Science', 'Materials Science']",16.043307086614174,Q1
4760,21100374601,IEEE Access,journal,21693536,"0,960",Q1,242,,40115,508876,207952,40026,"4,64","49,01","24,54",0,2428,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Computer Science; Engineering; Materials Science,2024,,,,,,,,,,10384.0,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
5260,21100200805,Scientific Reports,journal,20452322,"0,900",Q1,315,,67114,1094778,283579,67062,"3,88","48,79","37,49",95,7930,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2024,,,,,,,,,,22439.0,['Multidisciplinary'],1.6,D1
5787,10600153309,PLoS ONE,journal,19326203,"0,839",Q1,435,,48154,735160,165901,48149,"3,11","49,58","43,99",118,6657,United States,Northern America,Public Library of Science,2006-2023,Multidisciplinary (Q1),Multidisciplinary,2024,,,,,,,,,,14827.0,['Multidisciplinary'],5.391467416783873,D1
6245,21100253674,Nanomaterials,journal,20794991,"0,798",Q1,126,,10397,194621,51776,10222,"4,50","61,49","36,10",5,850,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),Chemical Engineering; Materials Science,2024,,,,,,,,,,3165.0,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
